alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,0.58,ml,"9km NNE of Aguanga, CA",,"M 0.6 - 9km NNE of Aguanga, CA",0,earthquake, CA
,,0.74,ml,"21km SSW of La Quinta, CA",,"M 0.7 - 21km SSW of La Quinta, CA",0,earthquake, CA
,,1.83,ml,"5km WSW of Volcano, Hawaii",,"M 1.8 - 5km WSW of Volcano, Hawaii",0,earthquake, Hawaii
,,2.1,ml,"57km N of Petersburg, Alaska",,"M 2.1 - 57km N of Petersburg, Alaska",0,earthquake, Alaska
,,1.38,ml,"10km ESE of Lincoln, Montana",,"M 1.4 - 10km ESE of Lincoln, Montana",0,earthquake, Montana
,,0.61,ml,"6km S of Palomar Observatory, CA",,"M 0.6 - 6km S of Palomar Observatory, CA",0,earthquake, CA
,,0.73,ml,"2km NNW of Indio, CA",,"M 0.7 - 2km NNW of Indio, CA",0,earthquake, CA
,,1.6,ml,"71km SSW of Kaktovik, Alaska",,"M 1.6 - 71km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.61,ml,"9km NE of Aguanga, CA",,"M 0.6 - 9km NE of Aguanga, CA",0,earthquake, CA
,,0.1,ml,"69km S of Beatty, Nevada",,"M 0.1 - 69km S of Beatty, Nevada",0,earthquake, Nevada
,,0.65,ml,"5km SW of Anza, CA",,"M 0.7 - 5km SW of Anza, CA",0,earthquake, CA
,,1.38,md,"15km NW of Pinnacles, CA",,"M 1.4 - 15km NW of Pinnacles, CA",0,earthquake, CA
,,2.2,ml,"80km S of Kaktovik, Alaska",,"M 2.2 - 80km S of Kaktovik, Alaska",0,earthquake, Alaska
,,-0.02,md,"20km SSE of Ronan, Montana",,"M -0.0 - 20km SSE of Ronan, Montana",0,earthquake, Montana
,,1.1,ml,"29km ENE of Bridgeport, California",,"M 1.1 - 29km ENE of Bridgeport, California",0,earthquake, California
,,0.75,ml,"9km ENE of Aguanga, CA",,"M 0.8 - 9km ENE of Aguanga, CA",0,earthquake, CA
,,0.88,md,"6km WNW of The Geysers, CA",,"M 0.9 - 6km WNW of The Geysers, CA",0,earthquake, CA
,,1.4,ml,"105km NW of Arctic Village, Alaska",,"M 1.4 - 105km NW of Arctic Village, Alaska",0,earthquake, Alaska
,,1.6,ml,"104km NW of Talkeetna, Alaska",,"M 1.6 - 104km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,2.3,ml,"84km SSW of Kaktovik, Alaska",,"M 2.3 - 84km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,1.2,ml,"42km WSW of Tonopah, Nevada",,"M 1.2 - 42km WSW of Tonopah, Nevada",0,earthquake, Nevada
,,0.35,ml,"10km NE of Aguanga, CA",,"M 0.4 - 10km NE of Aguanga, CA",0,earthquake, CA
,,1.41,md,"8km ENE of Mammoth Lakes, CA",,"M 1.4 - 8km ENE of Mammoth Lakes, CA",0,earthquake, CA
,,1.08,ml,"7km ESE of Yucaipa, CA",,"M 1.1 - 7km ESE of Yucaipa, CA",0,earthquake, CA
,,1.3,ml,"100km WNW of Arctic Village, Alaska",,"M 1.3 - 100km WNW of Arctic Village, Alaska",0,earthquake, Alaska
,,0.6,ml,"6km NW of Lemmon Valley, Nevada",,"M 0.6 - 6km NW of Lemmon Valley, Nevada",0,earthquake, Nevada
,,1.7,ml,"91km W of Willow, Alaska",,"M 1.7 - 91km W of Willow, Alaska",0,earthquake, Alaska
,,1.1,ml,"42km WSW of Tonopah, Nevada",,"M 1.1 - 42km WSW of Tonopah, Nevada",0,earthquake, Nevada
,,4.5,mb,South of the Fiji Islands,,M 4.5 - South of the Fiji Islands,0,earthquake,
,,0.68,md,"5km WNW of The Geysers, CA",,"M 0.7 - 5km WNW of The Geysers, CA",0,earthquake, CA
,,0.5,ml,"12km SSE of Verdi, Nevada",,"M 0.5 - 12km SSE of Verdi, Nevada",0,earthquake, Nevada
,,2.1,ml,"102km NNE of Kodiak, Alaska",,"M 2.1 - 102km NNE of Kodiak, Alaska",0,earthquake, Alaska
green,,5.2,mww,"25km E of Bitung, Indonesia",,"M 5.2 - 25km E of Bitung, Indonesia",0,earthquake, Indonesia
,,1.75,ml,"14km S of Leilani Estates, Hawaii",,"M 1.8 - 14km S of Leilani Estates, Hawaii",0,earthquake, Hawaii
,,0.54,ml,"6km NE of Anza, CA",,"M 0.5 - 6km NE of Anza, CA",0,earthquake, CA
,,0.67,ml,"7km NE of Aguanga, CA",,"M 0.7 - 7km NE of Aguanga, CA",0,earthquake, CA
,1.0,1.72,ml,"6km NE of Anza, CA",,"M 1.7 - 6km NE of Anza, CA",0,earthquake, CA
,,1.36,ml,"6km NE of Anza, CA",,"M 1.4 - 6km NE of Anza, CA",0,earthquake, CA
,,1.9,ml,"49km NW of Cape Yakataga, Alaska",,"M 1.9 - 49km NW of Cape Yakataga, Alaska",0,earthquake, Alaska
,,1.0,ml,"12km S of Mogul, Nevada",,"M 1.0 - 12km S of Mogul, Nevada",0,earthquake, Nevada
,,2.16,ml,"5km ESE of Leilani Estates, Hawaii",,"M 2.2 - 5km ESE of Leilani Estates, Hawaii",0,earthquake, Hawaii
,,1.16,ml,"20km NE of Olancha, CA",,"M 1.2 - 20km NE of Olancha, CA",0,earthquake, CA
,,0.56,md,"8km WNW of The Geysers, CA",,"M 0.6 - 8km WNW of The Geysers, CA",0,earthquake, CA
,,1.9,ml,"88km NNW of Talkeetna, Alaska",,"M 1.9 - 88km NNW of Talkeetna, Alaska",0,earthquake, Alaska
,,2.3,ml,"93km NNW of Nikiski, Alaska",,"M 2.3 - 93km NNW of Nikiski, Alaska",0,earthquake, Alaska
,,0.7,ml,"61km NNE of Pahrump, Nevada",,"M 0.7 - 61km NNE of Pahrump, Nevada",0,earthquake, Nevada
,,0.4,ml,"5km S of Idyllwild, CA",,"M 0.4 - 5km S of Idyllwild, CA",0,earthquake, CA
,,0.82,ml,"6km W of Anza, CA",,"M 0.8 - 6km W of Anza, CA",0,earthquake, CA
,,3.0,ml,"68km N of Nikiski, Alaska",,"M 3.0 - 68km N of Nikiski, Alaska",0,earthquake, Alaska
,,1.9,ml,"107km SW of Kaktovik, Alaska",,"M 1.9 - 107km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,-0.2,ml,"60km N of Pahrump, Nevada",,"M -0.2 - 60km N of Pahrump, Nevada",0,earthquake, Nevada
,,1.01,ml,"4km E of Banning, CA",,"M 1.0 - 4km E of Banning, CA",0,earthquake, CA
,,0.87,md,"6km NW of The Geysers, CA",,"M 0.9 - 6km NW of The Geysers, CA",0,earthquake, CA
,,-0.1,ml,"37km ENE of Beatty, Nevada",,"M -0.1 - 37km ENE of Beatty, Nevada",0,earthquake, Nevada
,,0.9,ml,"18km NE of Yerington, Nevada",,"M 0.9 - 18km NE of Yerington, Nevada",0,earthquake, Nevada
