ticker,date,close,volume,open,high,low
AAPL,2018-09-13,226.41,41411350,223.52,228.35,222.57
AMZN,2018-09-13,1989.87,3605398,2000.0,2008.76,1982.0277
FB,2018-09-13,161.36,25376900,162.0,163.32,160.86
GOOG,2018-09-13,1175.33,1402005,1170.74,1178.61,1162.85
NFLX,2018-09-13,368.15,8349938,371.91,374.09,366.84
AAPL,2018-09-14,223.84,31801970,225.75,226.84,222.52200000000002
AMZN,2018-09-14,1970.19,3587896,1992.93,1993.648,1959.22
FB,2018-09-14,162.32,21682850,161.715,162.84,160.34
GOOG,2018-09-14,1172.53,934300,1179.1,1180.425,1168.3295
NFLX,2018-09-14,364.56,4735893,368.55,371.09,363.46
AAPL,2018-09-17,217.88,36810120,222.15,222.95,217.27
AMZN,2018-09-17,1908.03,6981550,1954.73,1956.82,1887.41
FB,2018-09-17,160.58,20951950,161.92,162.06,159.77
GOOG,2018-09-17,1156.05,1279147,1170.14,1177.24,1154.03
NFLX,2018-09-17,350.35,7017306,364.22,367.33,349.57
AAPL,2018-09-18,218.24,31495630,217.79,221.85,217.12
AMZN,2018-09-18,1941.05,4231892,1918.65,1958.2,1915.4391
FB,2018-09-18,160.3,22331470,159.39,161.7639,158.8656
GOOG,2018-09-18,1161.22,1184407,1157.09,1176.08,1157.09
NFLX,2018-09-18,367.65,10387420,353.67,368.15,351.56
AAPL,2018-09-19,218.37,26869880,218.5,219.62,215.3
AMZN,2018-09-19,1926.42,4037641,1940.5,1940.83,1904.9
FB,2018-09-19,163.06,19568020,160.08,163.44,159.48
GOOG,2018-09-19,1171.09,1185321,1164.98,1173.21,1154.58
NFLX,2018-09-19,366.96,11842150,373.95,377.61,359.17
AAPL,2018-09-20,220.03,26388050,220.24,222.28,219.15
AMZN,2018-09-20,1944.3,3142025,1938.58,1955.0,1932.25
FB,2018-09-20,166.02,18812060,164.5,166.45,164.4722
GOOG,2018-09-20,1186.87,1209855,1179.99,1189.89,1173.36
NFLX,2018-09-20,365.36,6756310,370.26,370.26,363.17
AAPL,2018-09-21,217.66,95584080,220.78,221.36,217.29
AMZN,2018-09-21,1915.01,6774727,1954.22,1957.31,1910.5011
FB,2018-09-21,162.93,45847680,166.64,167.25,162.81
GOOG,2018-09-21,1166.09,4363929,1192.0,1192.21,1166.04
NFLX,2018-09-21,361.19,11894650,366.59,372.22,360.74
AAPL,2018-09-24,220.79,27581270,216.82,221.26,216.63
AMZN,2018-09-24,1934.36,4146563,1903.79,1936.88,1865.0
FB,2018-09-24,165.41,18907320,161.03,165.7,160.88
GOOG,2018-09-24,1173.37,1218532,1157.17,1178.0,1146.91
NFLX,2018-09-24,369.61,9284561,359.0,373.64,354.33
AAPL,2018-09-25,222.19,22811140,219.75,222.82,219.7
AMZN,2018-09-25,1974.55,4351662,1942.9,1975.91,1938.85
FB,2018-09-25,164.91,27430470,161.99,165.59,161.15
GOOG,2018-09-25,1184.65,937577,1176.15,1186.88,1168.0
NFLX,2018-09-25,369.43,6775710,370.23,371.34,364.49199999999996
AAPL,2018-09-26,220.42,23430370,221.0,223.75,219.76
AMZN,2018-09-26,1974.85,4262097,1968.5,1995.25,1961.52
FB,2018-09-26,166.95,24271500,164.3,169.3,164.21
GOOG,2018-09-26,1180.49,1346434,1185.15,1194.23,1174.765
NFLX,2018-09-26,377.88,13540220,373.59,382.0,370.88
AAPL,2018-09-27,224.95,29729270,223.82,226.44,223.54
AMZN,2018-09-27,2012.98,4295758,1993.2365,2016.1564,1988.58
FB,2018-09-27,168.84,27192570,167.55,171.77,167.21
GOOG,2018-09-27,1194.64,1244278,1186.73,1202.1,1183.63
NFLX,2018-09-27,380.71,7295123,379.87,383.2,376.0
AAPL,2018-09-28,225.74,22560440,224.79,225.84,224.02
AMZN,2018-09-28,2003.0,3991574,2004.41,2026.52,1996.4648
FB,2018-09-28,164.46,33786480,168.33,168.79,162.56
GOOG,2018-09-28,1193.47,1306822,1191.87,1195.41,1184.5
NFLX,2018-09-28,374.13,7104066,379.24,380.8,373.73
AAPL,2018-10-01,227.26,23171020,227.95,229.42,226.35
AMZN,2018-10-01,2004.36,3457725,2021.99,2033.19,2003.6
FB,2018-10-01,162.44,26260420,163.03,165.88,161.26
GOOG,2018-10-01,1195.31,1345250,1199.89,1209.9,1190.3
NFLX,2018-10-01,381.43,8339887,375.85,386.11,375.59
AAPL,2018-10-02,229.28,24435010,227.25,230.0,226.63
AMZN,2018-10-02,1971.31,5360924,1999.99,2013.39,1965.77
FB,2018-10-02,159.33,35303190,161.58,162.28,158.67
GOOG,2018-10-02,1200.11,1655602,1190.96,1209.96,1186.63
NFLX,2018-10-02,377.14,8620881,384.38,386.7999,373.83
AAPL,2018-10-03,232.07,28540490,230.05,233.47,229.78
AMZN,2018-10-03,1952.76,5167224,1981.7,1989.7,1949.81
FB,2018-10-03,162.43,23086120,160.0,163.66,159.53
GOOG,2018-10-03,1202.95,1207280,1205.0,1206.41,1193.83
NFLX,2018-10-03,377.05,5791686,378.53,380.93,374.881
AAPL,2018-10-04,227.99,31961120,230.78,232.35,226.73
AMZN,2018-10-04,1909.42,7240549,1949.0,1956.0,1896.57
FB,2018-10-04,158.85,25707300,161.46,161.46,157.35
GOOG,2018-10-04,1168.19,2151762,1195.33,1197.51,1155.576
NFLX,2018-10-04,363.65,9052362,375.88,375.92,360.4
AAPL,2018-10-05,224.29,33507770,227.96,228.41,220.58
AMZN,2018-10-05,1889.65,6816213,1917.99,1929.08,1862.83
FB,2018-10-05,157.33,25727470,159.21,160.9,156.2
GOOG,2018-10-05,1157.35,1184245,1167.5,1173.4999,1145.12
NFLX,2018-10-05,351.35,13512410,359.77,363.5,343.0
AAPL,2018-10-08,223.77,28784550,222.21,224.8,220.2
AMZN,2018-10-08,1864.42,7346828,1874.0,1901.9962,1830.6627
FB,2018-10-08,157.25,23825100,155.54,158.34,154.39
GOOG,2018-10-08,1148.97,1877142,1150.11,1168.0,1127.3636
NFLX,2018-10-08,349.1,12367510,345.18,352.945,338.11
AAPL,2018-10-09,226.87,26656630,223.64,227.27,222.2462
AMZN,2018-10-09,1870.32,4732430,1859.99,1896.6759,1852.32
FB,2018-10-09,157.9,18494270,157.69,160.59,157.42
GOOG,2018-10-09,1138.82,1308706,1146.15,1154.35,1137.572
NFLX,2018-10-09,355.71,8730976,348.48,358.72,347.09
AAPL,2018-10-10,216.36,41084070,225.46,226.35,216.05
AMZN,2018-10-10,1755.25,10878990,1857.89,1858.56,1754.41
FB,2018-10-10,151.38,30143210,156.82,157.69,151.31
GOOG,2018-10-10,1081.22,2574985,1131.08,1132.17,1081.13
NFLX,2018-10-10,325.89,17063660,353.52,355.15,325.39
AAPL,2018-10-11,214.45,52902320,214.52,219.5,212.32
AMZN,2018-10-11,1719.36,13858970,1724.0,1755.4,1685.1
FB,2018-10-11,153.35,35225150,150.13,154.81,149.16
GOOG,2018-10-11,1079.32,2939514,1072.94,1106.4,1068.27
NFLX,2018-10-11,321.1,16020690,324.94,334.2,315.81
AAPL,2018-10-12,222.11,39494770,220.42,222.88,216.84
AMZN,2018-10-12,1788.61,9385256,1808.0,1808.95,1742.53
FB,2018-10-12,153.74,25209770,156.73,156.89,151.2998
GOOG,2018-10-12,1110.08,2029872,1108.0,1115.0,1086.402
NFLX,2018-10-12,339.56,14806860,339.57,341.3,328.9
AAPL,2018-10-15,217.36,30280450,221.16,221.83,217.27
AMZN,2018-10-15,1760.95,6360606,1795.0,1795.05,1734.23
FB,2018-10-15,153.52,15194060,153.32,155.57,152.55
GOOG,2018-10-15,1092.25,1343231,1108.91,1113.4464,1089.0
NFLX,2018-10-15,333.13,11177510,337.63,339.2057,326.93
AAPL,2018-10-16,222.15,28802550,218.93,222.99,216.7627
AMZN,2018-10-16,1819.96,5826985,1783.5,1823.88,1761.55
FB,2018-10-16,158.78,18711620,155.4,159.46,155.01
GOOG,2018-10-16,1121.28,1845491,1104.59,1124.22,1102.5
NFLX,2018-10-16,346.4,19670560,337.24,347.95,330.555
AAPL,2018-10-17,221.19,22692880,222.3,222.64,219.34
AMZN,2018-10-17,1831.73,5282597,1842.79,1845.0,1807.0
FB,2018-10-17,159.42,17307030,159.56,160.49,157.95
GOOG,2018-10-17,1115.69,1397613,1126.46,1128.99,1102.19
NFLX,2018-10-17,364.7,32564190,378.33,380.0,356.5
AAPL,2018-10-18,216.02,32389280,217.86,219.74,213.0
AMZN,2018-10-18,1770.72,5839352,1821.49,1830.15,1767.87
FB,2018-10-18,154.92,21123820,158.51,158.66,153.28
GOOG,2018-10-18,1087.97,2056606,1121.84,1121.84,1077.09
NFLX,2018-10-18,346.71,18067760,360.673,362.2,346.05
AAPL,2018-10-19,219.31,32874330,218.06,221.26,217.43
AMZN,2018-10-19,1764.03,5854417,1785.16,1809.1,1753.0
FB,2018-10-19,154.05,19636460,155.86,157.35,153.55
GOOG,2018-10-19,1096.46,1264605,1093.37,1110.36,1087.75
NFLX,2018-10-19,332.67,16696220,351.0,355.8,332.2
AAPL,2018-10-22,220.65,28751540,219.79,223.36,218.94
AMZN,2018-10-22,1789.3,4481334,1784.0,1809.4999,1756.0
FB,2018-10-22,154.78,15381630,154.76,157.34,154.46
GOOG,2018-10-22,1101.16,1494285,1103.06,1112.23,1091.0
NFLX,2018-10-22,329.54,17081350,333.1,335.8,320.34
AAPL,2018-10-23,222.73,38681170,215.83,223.25,214.7
AMZN,2018-10-23,1768.7,6705686,1742.24,1776.34,1714.0
FB,2018-10-23,154.39,19066360,151.22,154.77,150.85
GOOG,2018-10-23,1103.69,1847798,1080.89,1107.89,1070.0
NFLX,2018-10-23,333.16,14880870,318.0,336.58,316.77
AAPL,2018-10-24,215.09,39992120,222.6,224.23,214.54
AMZN,2018-10-24,1664.2,6845123,1773.7,1777.7099,1656.56
FB,2018-10-24,146.04,27574300,154.28,154.65,145.6
GOOG,2018-10-24,1050.71,1910060,1104.25,1106.12,1048.74
NFLX,2018-10-24,301.83,18926130,332.28,333.0,300.73
AAPL,2018-10-25,219.8,29027340,217.71,221.38,216.75
AMZN,2018-10-25,1782.17,9941447,1703.34,1794.81,1692.0101
FB,2018-10-25,150.95,22000170,147.73,152.21,147.0
GOOG,2018-10-25,1095.57,2511884,1071.79,1110.98,1069.55
