,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
1830,0500000US23029,23,23,04,029,31491,13524,12571,7.0,41347,25157,18.9,89.3,22.0,603,29.1,112400,17.2,21.1,11.8,"Washington County, Maine"
1831,0500000US23013,23,23,04,013,39759,20623,19979,3.1,57751,33126,9.9,93.6,33.5,856,27.9,213400,19.4,18.7,9.0,"Knox County, Maine"
1832,0500000US23023,23,23,04,023,35452,19133,18674,2.4,63694,34675,9.6,94.0,36.4,894,28.5,213400,19.3,23.3,12.9,"Sagadahoc County, Maine"
1833,0500000US23011,23,23,04,011,121753,62150,59678,4.0,55365,30685,12.8,92.5,28.1,761,28.6,159400,17.5,23.6,9.9,"Kennebec County, Maine"
1834,0500000US23007,23,23,04,007,29982,15365,14474,5.8,51422,27252,11.5,92.6,24.8,635,26.5,139800,15.9,25.9,11.2,"Franklin County, Maine"
1835,0500000US23009,23,23,04,009,54601,28391,27238,4.1,57178,34361,10.8,94.1,34.1,818,27.4,212700,17.5,23.7,10.1,"Hancock County, Maine"
1836,0500000US24510,24,24,04,510,609032,306279,280888,8.3,50379,31271,21.2,85.2,31.9,1073,30.7,160100,19.4,31.4,5.8,"Baltimore city, Maryland"
1837,0500000US24039,24,24,04,039,25729,9686,8888,8.2,37803,18772,21.7,81.3,14.4,716,39.0,139100,18.8,24.4,7.0,"Somerset County, Maryland"
1838,0500000US24025,24,24,04,025,252222,136073,130345,4.2,89147,41147,7.2,92.7,36.7,1257,29.0,293400,18.7,32.0,9.9,"Harford County, Maryland"
1839,0500000US24001,24,24,04,001,71445,30552,28291,7.4,45893,23607,16.5,90.2,18.9,694,30.8,120700,16.0,21.8,8.5,"Allegany County, Maryland"
1840,0500000US31093,31,31,04,093,6417,3443,3323,3.5,59348,27489,7.9,94.9,21.1,685,27.5,148800,17.0,23.9,7.8,"Howard County, Nebraska"
1841,0500000US31073,31,31,04,073,2013,1147,1125,1.9,64053,37565,5.4,93.0,29.5,639,16.1,127000,16.5,18.8,10.0,"Gosper County, Nebraska"
1842,0500000US31153,31,31,04,153,181232,97673,94810,2.9,82032,36058,5.9,95.5,39.8,1006,25.3,195300,17.9,20.8,14.1,"Sarpy County, Nebraska"
1843,0500000US31015,31,31,04,015,1937,999,985,1.4,47778,29871,9.1,96.0,16.7,508,26.8,73000,12.9,22.7,12.9,"Boyd County, Nebraska"
1844,0500000US31059,31,31,04,059,5547,2933,2876,1.9,60313,34483,8.8,92.1,21.4,561,22.6,80100,13.4,16.6,7.4,"Fillmore County, Nebraska"
1845,0500000US31091,31,31,04,091,693,297,287,3.4,41125,27714,15.3,93.5,26.4,573,17.4,92200,14.3,10.8,14.7,"Hooker County, Nebraska"
1846,0500000US31159,31,31,04,159,17171,9310,9129,1.9,70389,32040,6.5,94.0,28.9,724,23.0,168200,14.8,21.5,7.4,"Seward County, Nebraska"
1847,0500000US31181,31,31,04,181,3537,1786,1748,2.1,46188,29969,10.8,93.8,23.0,458,21.8,78400,12.9,19.9,8.6,"Webster County, Nebraska"
1848,0500000US31023,31,31,04,023,8029,4301,4222,1.8,58979,30095,7.2,93.0,21.4,734,20.5,117300,14.7,23.3,9.3,"Butler County, Nebraska"
1849,0500000US31005,31,31,04,005,427,200,199,0.5,42813,25906,13.3,93.7,26.2,600,28.3,111300,13.5,22.8,6.5,"Arthur County, Nebraska"
1850,0500000US31067,31,31,04,067,21594,11445,11059,3.4,53110,29565,10.7,90.0,20.8,640,25.9,116200,15.6,21.0,7.1,"Gage County, Nebraska"
1851,0500000US31099,31,31,04,099,6529,3487,3388,2.8,60266,31094,9.9,96.4,26.7,695,23.2,149700,13.6,18.1,8.1,"Kearney County, Nebraska"
